wof:id,sg:id
404163007,SG_6SSkZUmcXsLaTBZFgMZafl_42.110203_-72.569037@1294128635
404168035,SG_5DLyH3kh6PjBZHMd89dFRw_42.124720_-72.536949@1294128635
404175407,SG_07m1IyTvnX5dMug9QmomYp_42.120618_-72.526928@1294128635
404182821,SG_0GFwWPEZvEZE3Y5jkRZn5o_42.515198_-73.223200@1294177022
353515399,SG_2n5wdL4XnmEyDNyTbWlYOd_42.501885_-73.237532@1294177022
403998557,SG_586AvzZT9mgzQXnrl9CauN_42.112866_-72.565572@1294128635
404197445,SG_0WdaHia2Hrsbd1xcNOgiT0_42.130807_-72.553819@1294128635
404195133,SG_2sb3SYQPOzeSmk7tUnM473_42.114900_-72.553163@1294128635
404197583,SG_4Q7jyrKoNkKHTt71HawUWT_42.132396_-72.546442@1294128635
404146739,SG_5M74s2MxAHvsT4NmmAuUQV_42.131376_-72.552181@1294128635
404201755,SG_3IQK3LoCYIVY6iZrinzRcK_42.128813_-72.529396@1294128635
404162857,SG_6fuMfoWFU2PVq7msvBkbC6_42.109266_-72.574186@1294128635
404206495,SG_0LuT450MtFHprA6w0YlCGg_42.112463_-72.561227@1294128635
404202031,SG_7NX0bIW5uDYviOvnbK4GMX_42.113820_-72.556979@1294128635
404216625,SG_0ezCglBHWNOaA8NUmeNrrd_42.129196_-72.535317@1294128635
404215525,SG_4QQ9i3pBW3MRspNYxDvIqb_42.118439_-72.564870@1294128635
404211477,SG_75lyJAUT2WY0Lc8UsE96h8_42.114833_-72.553737@1294128635
404160351,SG_3uVDusdffWKxGKlF59hWyo_42.110423_-72.568743@1294128635
404192173,SG_4XNJhMupeAlvz0sN2e1yG1_42.113975_-72.556662@1294128635
403860309,SG_4ufJRB69JI0kAFhzMerHpA_42.116423_-72.576007@1294128635
403902339,SG_7HkxB1yYg0jDQglZyT2dLy_42.109854_-72.570511@1294128635
387292575,SG_3EFnlfrCzQEGHrT8UZj8wK_42.541896_-73.243150@1294177022
387474159,SG_2wBpfOrWs2dJBYGQDc4UHI_42.508658_-73.232313@1294177022
404185065,SG_7fimLf6OdojDcwPDs0sgFT_42.111562_-72.561110@1294128635
387558347,SG_4RkRynTfn7Q2LURzdOWWdt_42.123777_-72.536132@1294128635
387575395,SG_6UBVZRDbV81EGZSe1kEeBr_42.110456_-72.578111@1294128635
404187153,SG_5R1mhhSrZvzD0gi7in5s9c_42.108503_-72.550473@1294128635
404187575,SG_1tkqTLkOy6ageQIFVwOFj3_42.107606_-72.571538@1294128635
404187767,SG_3oeNrYZWCpGyizwp6W29IC_42.118720_-72.534078@1294128635
387589889,SG_76QpSt5Mt8XHset2nL0MdY_42.111309_-72.562913@1294128635
387592249,SG_54iL4JNhqiwU0hposx4yOd_42.125412_-72.529152@1294128635
387594905,SG_5yZPAmS1vq4RA8hMN4ovQN_42.113756_-72.565280@1294128635
387624655,SG_62VvFWyGkPYaZiHJe2r1la_42.112316_-72.555707@1294128635
404158263,SG_6jLUJ2cjUBHohzl8zQry6X_42.114664_-72.576912@1294128635
403968495,SG_4kl3kBKubIB4cUbuu9GQRq_42.121498_-72.544601@1294128635
387613511,SG_7Ztj3gVGoFiPJ65QJJ0Svq_42.110852_-72.550044@1294128635
403999313,SG_0ed8kKRz5wT3BgIxhAzCZ3_42.106507_-72.560192@1294128635
387642705,SG_3fz2Z8ZTRL1bPXsN0SucRl_42.131638_-72.550191@1294128635
387644837,SG_5kVcc20Rp1P5puPMjjP6ys_42.133914_-72.540881@1294128635
387623715,SG_3SOCWDEx06QZDDKKFfbDex_42.136215_-72.531378@1294128635
